Compound,Variants,Vmax (pmol/min/pmol P450),Km (?M),CLint (Vmax/Km) (?L/min/pmol P450),Primary metabolic reaction by CYP3A4,Reference
amiodarone,CYP3A4.04,20.46,30.84,0.67,N-ethylation to N-desethylamiodarone,Yang et al 2019
amiodarone,CYP3A4.05,13.35,17.32,0.77,N-ethylation to N-desethylamiodarone,Yang et al 2019
amiodarone,CYP3A4.09,17.15,15.56,1.11,N-ethylation to N-desethylamiodarone,Yang et al 2019
amiodarone,CYP3A4.10,19.83,12.51,1.59,N-ethylation to N-desethylamiodarone,Yang et al 2019
amiodarone,CYP3A4.11,94.08,8.63,3.34,N-ethylation to N-desethylamiodarone,Yang et al 2019
amiodarone,CYP3A4.14,15.22,5.79,1.62,N-ethylation to N-desethylamiodarone,Yang et al 2019
amiodarone,CYP3A4.15,12.84,7.29,1.27,N-ethylation to N-desethylamiodarone,Yang et al 2019
amiodarone,CYP3A4.16,8.36,7.54,1.11,N-ethylation to N-desethylamiodarone,Yang et al 2019
amiodarone,CYP3A4.17,7.66,91.85,0.08,N-ethylation to N-desethylamiodarone,Yang et al 2019
amiodarone,CYP3A4.18,13.95,5.4,1.55,N-ethylation to N-desethylamiodarone,Yang et al 2019
amiodarone,CYP3A4.19,11.84,7.08,1.68,N-ethylation to N-desethylamiodarone,Yang et al 2019
amiodarone,CYP3A4.23,12.32,7.57,1.69,N-ethylation to N-desethylamiodarone,Yang et al 2019
amiodarone,CYP3A4.24,7.62,380.87,0.02,N-ethylation to N-desethylamiodarone,Yang et al 2019
amiodarone,CYP3A4.28,15.05,21.32,0.71,N-ethylation to N-desethylamiodarone,Yang et al 2019
amiodarone,CYP3A4.29,26.42,20.24,1.31,N-ethylation to N-desethylamiodarone,Yang et al 2019
amiodarone,CYP3A4.31,25.57,19.8,1.3,N-ethylation to N-desethylamiodarone,Yang et al 2019
amiodarone,CYP3A4.32,33.19,25.37,1.31,N-ethylation to N-desethylamiodarone,Yang et al 2019
amiodarone,CYP3A4.33,21.64,24.81,0.88,N-ethylation to N-desethylamiodarone,Yang et al 2019
amiodarone,CYP3A4.34,32.3,27.7,1.17,N-ethylation to N-desethylamiodarone,Yang et al 2019
artemether,CYP3A4.01,12.91,0.5,26.01,O-demethylation to dihydroartemisinin,Zhang et al 2023
artemether,CYP3A4.02,20.82,0.94,22.05,O-demethylation to dihydroartemisinin,Zhang et al 2023
artemether,CYP3A4.03,11.9,0.63,20.89,O-demethylation to dihydroartemisinin,Zhang et al 2023
artemether,CYP3A4.04,7.03,0.75,9.58,O-demethylation to dihydroartemisinin,Zhang et al 2023
artemether,CYP3A4.05,5.8,2.74,2.18,O-demethylation to dihydroartemisinin,Zhang et al 2023
artemether,CYP3A4.09,9.71,1.03,9.53,O-demethylation to dihydroartemisinin,Zhang et al 2023
artemether,CYP3A4.10,10.68,0.47,22.51,O-demethylation to dihydroartemisinin,Zhang et al 2023
artemether,CYP3A4.11,48.05,1.66,30.36,O-demethylation to dihydroartemisinin,Zhang et al 2023
artemether,CYP3A4.14,24.94,1.24,20.66,O-demethylation to dihydroartemisinin,Zhang et al 2023
artemether,CYP3A4.15,20.31,0.95,21.67,O-demethylation to dihydroartemisinin,Zhang et al 2023
artemether,CYP3A4.16,4.62,0.43,10.94,O-demethylation to dihydroartemisinin,Zhang et al 2023
artemether,CYP3A4.18,10.37,1.34,8.16,O-demethylation to dihydroartemisinin,Zhang et al 2023
artemether,CYP3A4.19,12.68,0.43,29.26,O-demethylation to dihydroartemisinin,Zhang et al 2023
artemether,CYP3A4.23,14.34,0.84,17.18,O-demethylation to dihydroartemisinin,Zhang et al 2023
artemether,CYP3A4.24,15.32,0.1,15.51,O-demethylation to dihydroartemisinin,Zhang et al 2023
artemether,CYP3A4.28,3.46,1.89,1.85,O-demethylation to dihydroartemisinin,Zhang et al 2023
artemether,CYP3A4.29,4.48,0.22,20.89,O-demethylation to dihydroartemisinin,Zhang et al 2023
artemether,CYP3A4.31,5.81,1.66,3.57,O-demethylation to dihydroartemisinin,Zhang et al 2023
artemether,CYP3A4.32,8.56,0.02,3.84,O-demethylation to dihydroartemisinin,Zhang et al 2023
artemether,CYP3A4.33,7.84,0.72,11.4,O-demethylation to dihydroartemisinin,Zhang et al 2023
artemether,CYP3A4.34,5.75,3.33,1.75,O-demethylation to dihydroartemisinin,Zhang et al 2023
aumolertinib,CYP3A4.01,1.866,3.204,0.583,N-demethylation to HAS-719,Ye et al 2024
aumolertinib,CYP3A4.03,2.02,3.631,0.557,N-demethylation to HAS-719,Ye et al 2024
aumolertinib,CYP3A4.04,1.153,3.952,0.293,N-demethylation to HAS-719,Ye et al 2024
aumolertinib,CYP3A4.05,1.882,10.144,0.186,N-demethylation to HAS-719,Ye et al 2024
aumolertinib,CYP3A4.07,0.377,4.937,0.077,N-demethylation to HAS-719,Ye et al 2024
aumolertinib,CYP3A4.08,0.717,3.158,0.227,N-demethylation to HAS-719,Ye et al 2024
aumolertinib,CYP3A4.09,1.28,4.08,0.315,N-demethylation to HAS-719,Ye et al 2024
aumolertinib,CYP3A4.10,1.045,2.314,0.452,N-demethylation to HAS-719,Ye et al 2024
aumolertinib,CYP3A4.12,0.318,19.773,0.016,N-demethylation to HAS-719,Ye et al 2024
aumolertinib,CYP3A4.13,0.405,6.015,0.067,N-demethylation to HAS-719,Ye et al 2024
aumolertinib,CYP3A4.14,0.996,3.445,0.289,N-demethylation to HAS-719,Ye et al 2024
aumolertinib,CYP3A4.15,2.26,3.54,0.64,N-demethylation to HAS-719,Ye et al 2024
aumolertinib,CYP3A4.16,1.382,3.013,0.46,N-demethylation to HAS-719,Ye et al 2024
aumolertinib,CYP3A4.17,0.321,58.283,0.006,N-demethylation to HAS-719,Ye et al 2024
aumolertinib,CYP3A4.18,0.759,5.859,0.13,N-demethylation to HAS-719,Ye et al 2024
aumolertinib,CYP3A4.19,1.16,3.625,0.321,N-demethylation to HAS-719,Ye et al 2024
aumolertinib,CYP3A4.23,1.163,4.085,0.286,N-demethylation to HAS-719,Ye et al 2024
aumolertinib,CYP3A4.24,1.012,3.732,0.271,N-demethylation to HAS-719,Ye et al 2024
aumolertinib,CYP3A4.28,1.287,2.519,0.511,N-demethylation to HAS-719,Ye et al 2024
aumolertinib,CYP3A4.29,3.053,4.031,0.759,N-demethylation to HAS-719,Ye et al 2024
aumolertinib,CYP3A4.31,1.129,3.213,0.356,N-demethylation to HAS-719,Ye et al 2024
aumolertinib,CYP3A4.32,1.759,2.963,0.594,N-demethylation to HAS-719,Ye et al 2024
aumolertinib,CYP3A4.33,1.345,3.52,0.384,N-demethylation to HAS-719,Ye et al 2024
aumolertinib,CYP3A4.34,0.73,5.817,0.126,N-demethylation to HAS-719,Ye et al 2024
brexpiprazole,CYP3A4.01,0.906,20.3,0.0449,S-oxidation of thiophene ring to brexpiprazole S-oxide,Chen et al 2020
brexpiprazole,CYP3A4.02,0.198,26.9,0.0074,S-oxidation of thiophene ring to brexpiprazole S-oxide,Chen et al 2020
brexpiprazole,CYP3A4.03,0.563,23.6,0.024,S-oxidation of thiophene ring to brexpiprazole S-oxide,Chen et al 2020
brexpiprazole,CYP3A4.04,0.878,27.4,0.0323,S-oxidation of thiophene ring to brexpiprazole S-oxide,Chen et al 2020
brexpiprazole,CYP3A4.05,0.502,22.4,0.0225,S-oxidation of thiophene ring to brexpiprazole S-oxide,Chen et al 2020
brexpiprazole,CYP3A4.07,0.252,19.1,0.0132,S-oxidation of thiophene ring to brexpiprazole S-oxide,Chen et al 2020
brexpiprazole,CYP3A4.08,0.192,23.4,0.0082,S-oxidation of thiophene ring to brexpiprazole S-oxide,Chen et al 2020
brexpiprazole,CYP3A4.09,0.556,22.8,0.0244,S-oxidation of thiophene ring to brexpiprazole S-oxide,Chen et al 2020
brexpiprazole,CYP3A4.10,0.731,21.6,0.034,S-oxidation of thiophene ring to brexpiprazole S-oxide,Chen et al 2020
brexpiprazole,CYP3A4.11,0.327,19.5,0.0167,S-oxidation of thiophene ring to brexpiprazole S-oxide,Chen et al 2020
brexpiprazole,CYP3A4.12,0.306,17.8,0.0172,S-oxidation of thiophene ring to brexpiprazole S-oxide,Chen et al 2020
brexpiprazole,CYP3A4.13,0.382,18.1,0.0211,S-oxidation of thiophene ring to brexpiprazole S-oxide,Chen et al 2020
brexpiprazole,CYP3A4.14,1.12,19.8,0.0573,S-oxidation of thiophene ring to brexpiprazole S-oxide,Chen et al 2020
brexpiprazole,CYP3A4.15,0.992,18.8,0.0528,S-oxidation of thiophene ring to brexpiprazole S-oxide,Chen et al 2020
brexpiprazole,CYP3A4.16,0.774,29.7,0.0265,S-oxidation of thiophene ring to brexpiprazole S-oxide,Chen et al 2020
brexpiprazole,CYP3A4.17,0.0332,22.6,0.0015,S-oxidation of thiophene ring to brexpiprazole S-oxide,Chen et al 2020
brexpiprazole,CYP3A4.18,0.639,24.9,0.0258,S-oxidation of thiophene ring to brexpiprazole S-oxide,Chen et al 2020
brexpiprazole,CYP3A4.19,0.958,22.3,0.0433,S-oxidation of thiophene ring to brexpiprazole S-oxide,Chen et al 2020
brexpiprazole,CYP3A4.20,0.0123,9.52,0.0013,S-oxidation of thiophene ring to brexpiprazole S-oxide,Chen et al 2020
brexpiprazole,CYP3A4.23,0.497,20.1,0.0248,S-oxidation of thiophene ring to brexpiprazole S-oxide,Chen et al 2020
brexpiprazole,CYP3A4.24,0.804,19,0.0427,S-oxidation of thiophene ring to brexpiprazole S-oxide,Chen et al 2020
brexpiprazole,CYP3A4.28,0.702,17.1,0.0411,S-oxidation of thiophene ring to brexpiprazole S-oxide,Chen et al 2020
brexpiprazole,CYP3A4.29,0.644,22.1,0.0294,S-oxidation of thiophene ring to brexpiprazole S-oxide,Chen et al 2020
brexpiprazole,CYP3A4.31,0.57,20.4,0.0279,S-oxidation of thiophene ring to brexpiprazole S-oxide,Chen et al 2020
brexpiprazole,CYP3A4.32,0.496,20.3,0.0245,S-oxidation of thiophene ring to brexpiprazole S-oxide,Chen et al 2020
brexpiprazole,CYP3A4.33,0.624,23.6,0.0266,S-oxidation of thiophene ring to brexpiprazole S-oxide,Chen et al 2020
brexpiprazole,CYP3A4.34,0.633,20.6,0.0308,S-oxidation of thiophene ring to brexpiprazole S-oxide,Chen et al 2020
cyclosporine,CYP3A4.01,0.262,5.204,0.05,"hydroxylation (AM1, AM9); N-demethylation (AM4N)",Kong et al 2023
cyclosporine,CYP3A4.02,0.427,8.958,0.048,"hydroxylation (AM1, AM9); N-demethylation (AM4N)",Kong et al 2023
cyclosporine,CYP3A4.03,0.303,8.018,0.038,"hydroxylation (AM1, AM9); N-demethylation (AM4N)",Kong et al 2023
cyclosporine,CYP3A4.04,0.244,6.45,0.038,"hydroxylation (AM1, AM9); N-demethylation (AM4N)",Kong et al 2023
cyclosporine,CYP3A4.05,0.698,2.296,0.304,"hydroxylation (AM1, AM9); N-demethylation (AM4N)",Kong et al 2023
cyclosporine,CYP3A4.07,0.264,19.03,0.014,"hydroxylation (AM1, AM9); N-demethylation (AM4N)",Kong et al 2023
cyclosporine,CYP3A4.08,0.261,13.093,0.02,"hydroxylation (AM1, AM9); N-demethylation (AM4N)",Kong et al 2023
cyclosporine,CYP3A4.09,0.222,6.436,0.034,"hydroxylation (AM1, AM9); N-demethylation (AM4N)",Kong et al 2023
cyclosporine,CYP3A4.10,0.256,4.73,0.054,"hydroxylation (AM1, AM9); N-demethylation (AM4N)",Kong et al 2023
cyclosporine,CYP3A4.12,0.277,76.76,0.004,"hydroxylation (AM1, AM9); N-demethylation (AM4N)",Kong et al 2023
cyclosporine,CYP3A4.13,0.152,21.14,0.007,"hydroxylation (AM1, AM9); N-demethylation (AM4N)",Kong et al 2023
cyclosporine,CYP3A4.14,0.231,8.384,0.028,"hydroxylation (AM1, AM9); N-demethylation (AM4N)",Kong et al 2023
cyclosporine,CYP3A4.16,0.286,8.717,0.033,"hydroxylation (AM1, AM9); N-demethylation (AM4N)",Kong et al 2023
cyclosporine,CYP3A4.18,0.163,33.6,0.005,"hydroxylation (AM1, AM9); N-demethylation (AM4N)",Kong et al 2023
cyclosporine,CYP3A4.19,0.292,12.57,0.023,"hydroxylation (AM1, AM9); N-demethylation (AM4N)",Kong et al 2023
cyclosporine,CYP3A4.23,0.175,17.543,0.01,"hydroxylation (AM1, AM9); N-demethylation (AM4N)",Kong et al 2023
cyclosporine,CYP3A4.24,0.261,42.963,0.006,"hydroxylation (AM1, AM9); N-demethylation (AM4N)",Kong et al 2023
cyclosporine,CYP3A4.28,0.295,18.953,0.016,"hydroxylation (AM1, AM9); N-demethylation (AM4N)",Kong et al 2023
cyclosporine,CYP3A4.29,0.387,4.966,0.078,"hydroxylation (AM1, AM9); N-demethylation (AM4N)",Kong et al 2023
cyclosporine,CYP3A4.31,0.253,22.893,0.011,"hydroxylation (AM1, AM9); N-demethylation (AM4N)",Kong et al 2023
cyclosporine,CYP3A4.32,0.179,25.49,0.007,"hydroxylation (AM1, AM9); N-demethylation (AM4N)",Kong et al 2023
cyclosporine,CYP3A4.33,0.206,14.4,0.014,"hydroxylation (AM1, AM9); N-demethylation (AM4N)",Kong et al 2023
cyclosporine,CYP3A4.34,0.064,11.66,0.006,"hydroxylation (AM1, AM9); N-demethylation (AM4N)",Kong et al 2023
ibrutinib,CYP3A4.01,0.57,11.95,0.0475,epoxidation and hydrolysis to dihydrodiol-ibrutinib,Xu et al 2018
ibrutinib,CYP3A4.02,5.14,193.53,0.0273,epoxidation and hydrolysis to dihydrodiol-ibrutinib,Xu et al 2018
ibrutinib,CYP3A4.03,0.88,13.3,0.0696,epoxidation and hydrolysis to dihydrodiol-ibrutinib,Xu et al 2018
ibrutinib,CYP3A4.04,0.87,15.63,0.0562,epoxidation and hydrolysis to dihydrodiol-ibrutinib,Xu et al 2018
ibrutinib,CYP3A4.05,2.08,54.39,0.0386,epoxidation and hydrolysis to dihydrodiol-ibrutinib,Xu et al 2018
ibrutinib,CYP3A4.09,1.1,14.5,0.0834,epoxidation and hydrolysis to dihydrodiol-ibrutinib,Xu et al 2018
ibrutinib,CYP3A4.10,2.19,48.52,0.0463,epoxidation and hydrolysis to dihydrodiol-ibrutinib,Xu et al 2018
ibrutinib,CYP3A4.11,1.12,28.24,0.0405,epoxidation and hydrolysis to dihydrodiol-ibrutinib,Xu et al 2018
ibrutinib,CYP3A4.14,0.79,28.89,0.0277,epoxidation and hydrolysis to dihydrodiol-ibrutinib,Xu et al 2018
ibrutinib,CYP3A4.15,0.91,31.55,0.0325,epoxidation and hydrolysis to dihydrodiol-ibrutinib,Xu et al 2018
ibrutinib,CYP3A4.16,0.58,16.11,0.0363,epoxidation and hydrolysis to dihydrodiol-ibrutinib,Xu et al 2018
ibrutinib,CYP3A4.18,1.1,24.38,0.0451,epoxidation and hydrolysis to dihydrodiol-ibrutinib,Xu et al 2018
ibrutinib,CYP3A4.19,1.46,12.9,0.1133,epoxidation and hydrolysis to dihydrodiol-ibrutinib,Xu et al 2018
ibrutinib,CYP3A4.23,1.02,18.16,0.0655,epoxidation and hydrolysis to dihydrodiol-ibrutinib,Xu et al 2018
ibrutinib,CYP3A4.28,0.73,38.5,0.0189,epoxidation and hydrolysis to dihydrodiol-ibrutinib,Xu et al 2018
ibrutinib,CYP3A4.29,0.73,34.16,0.0223,epoxidation and hydrolysis to dihydrodiol-ibrutinib,Xu et al 2018
ibrutinib,CYP3A4.31,0.65,22.33,0.029,epoxidation and hydrolysis to dihydrodiol-ibrutinib,Xu et al 2018
ibrutinib,CYP3A4.32,0.95,34.13,0.0286,epoxidation and hydrolysis to dihydrodiol-ibrutinib,Xu et al 2018
ibrutinib,CYP3A4.33,1.26,27.07,0.0466,epoxidation and hydrolysis to dihydrodiol-ibrutinib,Xu et al 2018
ibrutinib,CYP3A4.34,1.11,8.01,0.1384,epoxidation and hydrolysis to dihydrodiol-ibrutinib,Xu et al 2018
istradefylline,CYP3A4.01,3.926,7.171,0.548,4'-O-demethylation to 4'-O-demethl istradefylline,Hu et al 2022
istradefylline,CYP3A4.02,2.709,6.086,84.365,4'-O-demethylation to 4'-O-demethl istradefylline,Hu et al 2022
istradefylline,CYP3A4.03,3.004,6.121,0.497,4'-O-demethylation to 4'-O-demethl istradefylline,Hu et al 2022
istradefylline,CYP3A4.04,3.246,19.45,0.171,4'-O-demethylation to 4'-O-demethl istradefylline,Hu et al 2022
istradefylline,CYP3A4.05,23.62,116.62,0.215,4'-O-demethylation to 4'-O-demethl istradefylline,Hu et al 2022
istradefylline,CYP3A4.07,1.653,24.04,0.069,4'-O-demethylation to 4'-O-demethl istradefylline,Hu et al 2022
istradefylline,CYP3A4.08,0.586,7.586,14.114,4'-O-demethylation to 4'-O-demethl istradefylline,Hu et al 2022
istradefylline,CYP3A4.09,1.116,6.409,0.175,4'-O-demethylation to 4'-O-demethl istradefylline,Hu et al 2022
istradefylline,CYP3A4.10,1.301,8.57,0.153,4'-O-demethylation to 4'-O-demethl istradefylline,Hu et al 2022
istradefylline,CYP3A4.11,1.043,17.533,0.06,4'-O-demethylation to 4'-O-demethl istradefylline,Hu et al 2022
istradefylline,CYP3A4.12,0.6,9.647,0.062,4'-O-demethylation to 4'-O-demethl istradefylline,Hu et al 2022
istradefylline,CYP3A4.13,0.536,5.085,0.107,4'-O-demethylation to 4'-O-demethl istradefylline,Hu et al 2022
istradefylline,CYP3A4.14,1.043,3.035,62.693,4'-O-demethylation to 4'-O-demethl istradefylline,Hu et al 2022
istradefylline,CYP3A4.15,1.276,6.402,36.429,4'-O-demethylation to 4'-O-demethl istradefylline,Hu et al 2022
istradefylline,CYP3A4.16,0.632,8.925,0.071,4'-O-demethylation to 4'-O-demethl istradefylline,Hu et al 2022
istradefylline,CYP3A4.17,0.104,12.847,1.489,4'-O-demethylation to 4'-O-demethl istradefylline,Hu et al 2022
istradefylline,CYP3A4.18,0.491,6.488,13.823,4'-O-demethylation to 4'-O-demethl istradefylline,Hu et al 2022
istradefylline,CYP3A4.19,1.069,5.537,0.197,4'-O-demethylation to 4'-O-demethl istradefylline,Hu et al 2022
istradefylline,CYP3A4.23,1.023,5.472,34.144,4'-O-demethylation to 4'-O-demethl istradefylline,Hu et al 2022
istradefylline,CYP3A4.24,1.144,6.486,0.176,4'-O-demethylation to 4'-O-demethl istradefylline,Hu et al 2022
istradefylline,CYP3A4.28,1.787,8.451,0.213,4'-O-demethylation to 4'-O-demethl istradefylline,Hu et al 2022
istradefylline,CYP3A4.29,4.696,6.03,0.781,4'-O-demethylation to 4'-O-demethl istradefylline,Hu et al 2022
istradefylline,CYP3A4.31,1.139,4.149,50.609,4'-O-demethylation to 4'-O-demethl istradefylline,Hu et al 2022
istradefylline,CYP3A4.32,5.102,15.527,0.337,4'-O-demethylation to 4'-O-demethl istradefylline,Hu et al 2022
istradefylline,CYP3A4.33,2.711,13.903,0.195,4'-O-demethylation to 4'-O-demethl istradefylline,Hu et al 2022
istradefylline,CYP3A4.34,1.838,8.984,0.205,4'-O-demethylation to 4'-O-demethl istradefylline,Hu et al 2022
lidocaine,CYP3A4.01,7885,471.8,16.98,N-deethylation to monoethylglycinexylidide,Fang et al 2017
lidocaine,CYP3A4.02,4015,842.03,4.73,N-deethylation to monoethylglycinexylidide,Fang et al 2017
lidocaine,CYP3A4.03,11350,639.57,18.04,N-deethylation to monoethylglycinexylidide,Fang et al 2017
lidocaine,CYP3A4.04,8442,542.17,14.8,N-deethylation to monoethylglycinexylidide,Fang et al 2017
lidocaine,CYP3A4.05,6436,1103.67,5.6,N-deethylation to monoethylglycinexylidide,Fang et al 2017
lidocaine,CYP3A4.09,8304,713.4,11.52,N-deethylation to monoethylglycinexylidide,Fang et al 2017
lidocaine,CYP3A4.10,10730,554.43,19.09,N-deethylation to monoethylglycinexylidide,Fang et al 2017
lidocaine,CYP3A4.11,27020,702.57,36.42,N-deethylation to monoethylglycinexylidide,Fang et al 2017
lidocaine,CYP3A4.14,10120,406.63,25.65,N-deethylation to monoethylglycinexylidide,Fang et al 2017
lidocaine,CYP3A4.15,10730,491.07,20.87,N-deethylation to monoethylglycinexylidide,Fang et al 2017
lidocaine,CYP3A4.16,6804,812.23,8.11,N-deethylation to monoethylglycinexylidide,Fang et al 2017
lidocaine,CYP3A4.18,13470,493.97,27.2,N-deethylation to monoethylglycinexylidide,Fang et al 2017
lidocaine,CYP3A4.19,9887,466.17,22.4,N-deethylation to monoethylglycinexylidide,Fang et al 2017
lidocaine,CYP3A4.23,10560,296.73,35.04,N-deethylation to monoethylglycinexylidide,Fang et al 2017
lidocaine,CYP3A4.24,304.6,70.83,4.93,N-deethylation to monoethylglycinexylidide,Fang et al 2017
lidocaine,CYP3A4.28,5224,290.6,17.87,N-deethylation to monoethylglycinexylidide,Fang et al 2017
lidocaine,CYP3A4.29,7771,310,24.08,N-deethylation to monoethylglycinexylidide,Fang et al 2017
lidocaine,CYP3A4.31,7949,237.3,33.58,N-deethylation to monoethylglycinexylidide,Fang et al 2017
lidocaine,CYP3A4.32,8743.67,289.6,30.74,N-deethylation to monoethylglycinexylidide,Fang et al 2017
lidocaine,CYP3A4.33,4865,328.23,14.43,N-deethylation to monoethylglycinexylidide,Fang et al 2017
lidocaine,CYP3A4.34,12225.67,532.5,28.15,N-deethylation to monoethylglycinexylidide,Fang et al 2017
loperamide,CYP3A4.01,2.079,2.196,0.951,N-demethylation to N-desmethyl loperamide,Lin et al 2019 2809
loperamide,CYP3A4.02,0.568,8.023,0.071,N-demethylation to N-desmethyl loperamide,Lin et al 2019 2809
loperamide,CYP3A4.03,1.777,5.53,0.322,N-demethylation to N-desmethyl loperamide,Lin et al 2019 2809
loperamide,CYP3A4.04,1.467,3.293,0.446,N-demethylation to N-desmethyl loperamide,Lin et al 2019 2809
loperamide,CYP3A4.05,2.153,4.804,0.448,N-demethylation to N-desmethyl loperamide,Lin et al 2019 2809
loperamide,CYP3A4.07,3.259,8.849,0.368,N-demethylation to N-desmethyl loperamide,Lin et al 2019 2809
loperamide,CYP3A4.08,5.302,7.828,0.682,N-demethylation to N-desmethyl loperamide,Lin et al 2019 2809
loperamide,CYP3A4.09,0.371,2.884,0.129,N-demethylation to N-desmethyl loperamide,Lin et al 2019 2809
loperamide,CYP3A4.10,1.18,2.5,0.472,N-demethylation to N-desmethyl loperamide,Lin et al 2019 2809
loperamide,CYP3A4.11,2.854,17.163,0.166,N-demethylation to N-desmethyl loperamide,Lin et al 2019 2809
loperamide,CYP3A4.12,0.969,4.016,0.242,N-demethylation to N-desmethyl loperamide,Lin et al 2019 2809
loperamide,CYP3A4.13,0.651,5.812,0.112,N-demethylation to N-desmethyl loperamide,Lin et al 2019 2809
loperamide,CYP3A4.14,4.862,10.494,0.464,N-demethylation to N-desmethyl loperamide,Lin et al 2019 2809
loperamide,CYP3A4.15,1.074,3.423,0.315,N-demethylation to N-desmethyl loperamide,Lin et al 2019 2809
loperamide,CYP3A4.16,10.703,15.55,0.69,N-demethylation to N-desmethyl loperamide,Lin et al 2019 2809
loperamide,CYP3A4.18,9.223,11.567,0.798,N-demethylation to N-desmethyl loperamide,Lin et al 2019 2809
loperamide,CYP3A4.19,0.914,2.234,0.416,N-demethylation to N-desmethyl loperamide,Lin et al 2019 2809
loperamide,CYP3A4.23,0.434,5.331,0.082,N-demethylation to N-desmethyl loperamide,Lin et al 2019 2809
loperamide,CYP3A4.24,0.209,1.329,0.157,N-demethylation to N-desmethyl loperamide,Lin et al 2019 2809
loperamide,CYP3A4.28,1.23,2.356,0.524,N-demethylation to N-desmethyl loperamide,Lin et al 2019 2809
loperamide,CYP3A4.29,1.327,3.356,0.395,N-demethylation to N-desmethyl loperamide,Lin et al 2019 2809
loperamide,CYP3A4.31,0.834,2.9,0.288,N-demethylation to N-desmethyl loperamide,Lin et al 2019 2809
loperamide,CYP3A4.32,0.553,3.568,0.155,N-demethylation to N-desmethyl loperamide,Lin et al 2019 2809
loperamide,CYP3A4.33,0.851,4.849,0.176,N-demethylation to N-desmethyl loperamide,Lin et al 2019 2809
loperamide,CYP3A4.34,0.626,1.902,0.329,N-demethylation to N-desmethyl loperamide,Lin et al 2019 2809
lumefantrine,CYP3A4.01,4.3,2.12,203,N-dealkylation to desbutyl-lumefantrine,Zhang et al 2023
lumefantrine,CYP3A4.02,4.56,1.69,271,N-dealkylation to desbutyl-lumefantrine,Zhang et al 2023
lumefantrine,CYP3A4.03,8.54,2.44,350,N-dealkylation to desbutyl-lumefantrine,Zhang et al 2023
lumefantrine,CYP3A4.04,3.84,1.5,256,N-dealkylation to desbutyl-lumefantrine,Zhang et al 2023
lumefantrine,CYP3A4.05,1.53,1.74,89.7,N-dealkylation to desbutyl-lumefantrine,Zhang et al 2023
lumefantrine,CYP3A4.09,8.33,5.71,147,N-dealkylation to desbutyl-lumefantrine,Zhang et al 2023
lumefantrine,CYP3A4.10,5.63,2.98,195,N-dealkylation to desbutyl-lumefantrine,Zhang et al 2023
lumefantrine,CYP3A4.11,26.41,3.37,792,N-dealkylation to desbutyl-lumefantrine,Zhang et al 2023
lumefantrine,CYP3A4.14,0.26,32.42,0.81,N-dealkylation to desbutyl-lumefantrine,Zhang et al 2023
